Arist(s) Name,Track Name,Album Name,Length,SpotifyID,ISRC
Christophe , Aline , Aline , 00:02:49 , 1N4ixxhbBH1ClnPdTTsRzz , FR45F6500020
iZaak; Dalex; Dímelo Flow , Ya que carajo , Ya que carajo , 00:03:35 , 0ncijbZWmnP9oo8pghxAQ3 , USWL12200662
Chelion; Arcangel , Enamorado De Ti , Enamorado De Ti , 00:03:39 , 1L5A48fOB8tghEv4lHEzdE , GBKPL2292998
Cauty; Zion & Lennox; 574 , Ponle Dembow , Ponle Dembow , 00:03:20 , 1zp23gHCrilG1NGfmjMy0f , USSD12200828
The Weeknd , Earned It (Fifty Shades Of Grey) , Beauty Behind The Madness , 00:04:37 , 4frLb7nWtsz2ymBE6k2GRP , USUG11500923
Nibal; Justin Quiles; Danny Ocean; Feid , Cuando Amanezca (feat. Danny Ocean, Justin Quiles, Feid) , Cuando Amanezca (feat. Danny Ocean, Justin Quiles, Feid) , 00:03:07 , 0yx82WHSiVRekLwqfxQkvJ , MXF152000161
Vaughn Monroe , Dance Ballerina Dance , Time On My Hands , 00:03:28 , 4oWAPkz8r8QalKqvXLmWFo , GBBPG0054205
The Weeknd , Best Friends , Dawn FM , 00:02:43 , 1E5Xu8dur0fAjSP1VpVhAZ , USUG12106691
The Weeknd; Summer Walker , Best Friends - Remix , Best Friends (Remix) , 00:02:55 , 3YZmW6AUHsbN7KhOTd944i , USUG12205248
Feid , Si Te La Encuentras Por Ahí , Si Te La Encuentras Por Ahí , 00:03:11 , 02jLfqc9gMo8PkHEGHY3OT , USUM72214628
D.OZi; Nicky Jam , Maleante - Remix , Maleante (Remix) , 00:04:29 , 2e0eiy7CtHFtZrYJ9aJeAH , QM6P42211205
El Alfa; Noriel; Trueno , LOS APARATOS , LOS APARATOS , 00:03:52 , 4SSbtLDkepeOHAckM1FCBP , QM6P42213591
Miley Cyrus , Like a Prayer - Live , ATTENTION: MILEY LIVE , 00:03:27 , 6BHshWgPkMT0iIwOiuKiF2 , USSM12202778
De La Rose; Mora; SHARIF RAFAEL , Maya (Remix) , Maya (Remix) , 00:03:37 , 6ufIbiVL85qZw6q4QmuQ8I , USDXS2202668
Sael , Borracho y Loco , El Pibe (Vol.1) , 00:02:44 , 4WJ1NdiMI29s083w8ph0hA , QZV4A2200029
Reykon , Perro Fiel , Perro Fiel , 00:03:00 , 2tdJo0Lczl7DEMOn92GgPD , QZNJW2280923
Natan & Shander; Feid; Ryan Castro; Totoy El Frio , VIP Feat. Totoy El Frio , VIP Feat. Totoy El Frio , 00:04:05 , 37PGGNAF1QheeikFCvwqFI , USUG12205724
Yera; Carlos Vives; Lalo Ebratt , MAMACITA , MAMACITA , 00:03:10 , 7qRDjlalrqWd6QSDAits9b , QM6N22299758
